Random Walk, DT, DT, DT, DT
,4173,8128,8124,4
,4155,8136,8124,12
,4158,8134,8124,10
Avg of 200
,6250,8142,8124,18
,6275,8132,8124,8
,6286,8128,8124,4
,6285,8136,8124,12
,6218,8142,8124,18
,6224,8142,8124,18
,6220,8136,8124,12
,6227,8138,8124,14
,6247,8138,8124,14
,6266,8134,8124,10
Avg of 300
,8304,8152,8124,28
,8305,8148,8124,24
,8379,8132,8124,8
,8343,8140,8124,16
,8344,8138,8124,14
,8339,8138,8124,14
,8319,8142,8124,18
,8335,8140,8124,16
,8329,8140,8124,16
,8248,8152,8124,28
Avg of 400
,10403,8146,8124,22
,10417,8144,8124,20
,10448,8134,8124,10
,10383,8162,8124,38
,10400,8146,8124,22
,10401,8154,8124,30
,10372,8146,8124,22
,10464,8136,8124,12
,10463,8134,8124,10
,10421,8142,8124,18
Avg of 500
,12492,8140,8124,16
,12496,8146,8124,22
,12513,8144,8124,20
,12546,8142,8124,18
,12408,8166,8124,42
,12497,8148,8124,24
,12529,8142,8124,18
,12466,8152,8124,28
,12493,8148,8124,24
,12512,8146,8124,22
Avg of 600
,14587,8156,8124,32
,14592,8142,8124,18
,14563,8152,8124,28
,14597,8144,8124,20
,14558,8164,8124,40
,14502,8166,8124,42
,14598,8148,8124,24
,14612,8144,8124,20
,14622,8140,8124,16
,14580,8146,8124,22
Avg of 700
,16654,8154,8124,30
,16683,8156,8124,32
,16668,8150,8124,26
,16638,8152,8124,28
,16673,8168,8124,44
,16585,8170,8124,46
,16684,8146,8124,22
,16688,8148,8124,24
,16661,8144,8124,20
,16629,8160,8124,36
Avg of 800
,18640,8176,8124,52
,18685,8158,8124,34
,18741,8158,8124,34
,18784,8148,8124,24
,18759,8148,8124,24
,18773,8146,8124,22
,18720,8156,8124,32
,18701,8166,8124,42
,18672,8174,8124,50
,18683,8170,8124,46
Avg of 900
,20787,8166,8124,42
,20746,8172,8124,48
,20808,8172,8124,48
,20675,8190,8124,66
,20782,8174,8124,50
,20699,8184,8124,60
,20806,8158,8124,34
,20803,8162,8124,38
,20802,8158,8124,34
,20747,8190,8124,66
Avg of 1000
Random Walk, NB2, NB2, NB2, NB2
,2084,8132,8124,8
,2070,8128,8124,4
,2100,8126,8124,2
,2068,8128,8124,4
,2088,8126,8124,2
,2062,8132,8124,8
,2077,8128,8124,4
,2080,8128,8124,4
,2090,8126,8124,2
,2088,8126,8124,2
Avg of 100
,4169,8130,8124,6
,4161,8132,8124,8
,4179,8130,8124,6
,4146,8138,8124,14
,4187,8130,8124,6
,4183,8136,8124,12
,4165,8132,8124,8
,4199,8124,8124,0
,4175,8130,8124,6
,4147,8140,8124,16
Avg of 200
,6242,8136,8124,12
,6257,8134,8124,10
,6234,8142,8124,18
,6293,8128,8124,4
,6281,8128,8124,4
,6270,8136,8124,12
,6246,8142,8124,18
,6264,8134,8124,10
,6227,8144,8124,20
,6247,8140,8124,16
Avg of 300
,8330,8138,8124,14
,8326,8140,8124,16
,8338,8136,8124,12
,8327,8140,8124,16
,8340,8140,8124,16
,8338,8136,8124,12
,8307,8150,8124,26
,8307,8146,8124,22
,8332,8140,8124,16
,8358,8132,8124,8
Avg of 400
,10382,8152,8124,28
,10384,8156,8124,32
,10424,8142,8124,18
,10363,8150,8124,26
,10354,8152,8124,28
,10439,8136,8124,12
,10446,8146,8124,22
,10416,8142,8124,18
,10366,8160,8124,36
,10420,8138,8124,14
Avg of 500
,12507,8150,8124,26
,12454,8158,8124,34
,12491,8146,8124,22
,12479,8150,8124,26
,12458,8156,8124,32
,12473,8146,8124,22
,12481,8148,8124,24
,12474,8154,8124,30
,12489,8144,8124,20
,12415,8166,8124,42
Avg of 600
,14572,8156,8124,32
,14585,8148,8124,24
,14603,8146,8124,22
,14475,8168,8124,44
,14608,8144,8124,20
,14558,8156,8124,32
,14537,8160,8124,36
,14609,8144,8124,20
,14589,8158,8124,34
,14574,8152,8124,28
Avg of 700
,16672,8154,8124,30
,16634,8154,8124,30
,16658,8160,8124,36
,16584,8174,8124,50
,16643,8156,8124,32
,16615,8166,8124,42
,16669,8150,8124,26
,16626,8162,8124,38
,16626,8158,8124,34
,16580,8172,8124,48
Avg of 800
,18710,8162,8124,38
,18663,8166,8124,42
,18754,8156,8124,32
,18729,8164,8124,40
,18704,8166,8124,42
,18732,8176,8124,52
,18752,8158,8124,34
,18694,8168,8124,44
,18771,8146,8124,22
,18660,8166,8124,42
Avg of 900
,20854,8162,8124,38
,20781,8170,8124,46
,20746,8176,8124,52
,20757,8180,8124,56
,20824,8174,8124,50
,20783,8170,8124,46
,20787,8162,8124,38
,20742,8176,8124,52
,20833,8158,8124,34
,20692,8188,8124,64
Avg of 1000
Random Walk, Stack, Stack, Stack, Stack
,1635,8206,8124,82
,1712,8203,8124,79
,1668,8204,8124,80
,1668,8195,8124,71
,1683,8196,8124,72
,1774,8181,8124,57
,1772,8189,8124,65
,1658,8205,8124,81
,1546,8209,8124,85
,1574,8210,8124,86
Avg of 100
,3281,8292,8124,168
,3435,8284,8124,160
,3361,8269,8124,145
,3269,8298,8124,174
,3283,8290,8124,166
,3382,8266,8124,142
,3204,8275,8124,151
,3332,8278,8124,154
,3333,8298,8124,174
,3278,8283,8124,159
Avg of 200
,4942,8354,8124,230
,5083,8346,8124,222
,4884,8366,8124,242
,4960,8362,8124,238
,5174,8333,8124,209
,4959,8354,8124,230
,4759,8388,8124,264
,5023,8354,8124,230
,5073,8339,8124,215
,5167,8333,8124,209
Avg of 300
,6800,8401,8124,277
,6840,8405,8124,281
,6634,8446,8124,322
,6785,8407,8124,283
,6749,8439,8124,315
,6584,8412,8124,288
,6665,8439,8124,315
,6636,8432,8124,308
,6790,8416,8124,292
,6492,8443,8124,319
Avg of 400
,8356,8504,8124,380
,8276,8509,8124,385
,8422,8500,8124,376
,8342,8476,8124,352
,8377,8495,8124,371
,8419,8514,8124,390
,8411,8501,8124,377
,8331,8499,8124,375
,8212,8506,8124,382
,8253,8507,8124,383
Avg of 500
,9916,8613,8124,489
,9899,8611,8124,487
,10103,8562,8124,438
,10138,8544,8124,420
,9956,8583,8124,459
,10111,8572,8124,448
,9822,8618,8124,494
,10434,8543,8124,419
,10150,8559,8124,435
,9888,8620,8124,496
Avg of 600
,11565,8653,8124,529
,11621,8665,8124,541
,11474,8674,8124,550
,11746,8630,8124,506
,11694,8648,8124,524
,11759,8649,8124,525
,11734,8666,8124,542
,11668,8659,8124,535
,11931,8610,8124,486
,11249,8703,8124,579
Avg of 700
,13527,8697,8124,573
,13298,8727,8124,603
,13402,8732,8124,608
,13103,8768,8124,644
,13082,8770,8124,646
,13797,8677,8124,553
,13416,8723,8124,599
,13302,8749,8124,625
,13373,8724,8124,600
