Random Target, DT, DT, DT, DT
,1783,8124,8124,0
,1771,8124,8124,0
Avg of 1000
Random Target, Stack, Stack, Stack, Stack
,326,8197,8124,73
,325,8201,8124,77
,333,8196,8124,72
,333,8197,8124,73
,317,8196,8124,72
,333,8199,8124,75
,337,8200,8124,76
,326,8193,8124,69
,333,8199,8124,75
,312,8182,8124,58
Avg of 100
,662,8281,8124,157
,625,8260,8124,136
,668,8283,8124,159
,633,8262,8124,138
,652,8268,8124,144
,642,8269,8124,145
,621,8254,8124,130
,631,8258,8124,134
,698,8301,8124,177
,635,8261,8124,137
Avg of 200
,976,8351,8124,227
,982,8357,8124,233
,998,8364,8124,240
,1000,8361,8124,237
,947,8328,8124,204
,963,8350,8124,226
,992,8358,8124,234
,979,8350,8124,226
,962,8341,8124,217
,956,8339,8124,215
Avg of 300
,1278,8420,8124,296
,1245,8397,8124,273
,1335,8448,8124,324
,1293,8418,8124,294
,1280,8421,8124,297
,1260,8409,8124,285
,1262,8409,8124,285
,1315,8441,8124,317
,1312,8438,8124,314
,1277,8418,8124,294
Avg of 400
,1615,8501,8124,377
,1598,8500,8124,376
,1601,8518,8124,394
,1529,8454,8124,330
,1560,8479,8124,355
,1568,8475,8124,351
,1581,8496,8124,372
,1613,8497,8124,373
,1580,8485,8124,361
,1653,8525,8124,401
Avg of 500
,1878,8564,8124,440
,1960,8601,8124,477
,1866,8551,8124,427
,1870,8557,8124,433
,1851,8540,8124,416
,1973,8617,8124,493
,1888,8547,8124,423
,1913,8575,8124,451
,1894,8586,8124,462
,1908,8569,8124,445
Avg of 600
,2243,8656,8124,532
,2199,8652,8124,528
,2134,8604,8124,480
,2182,8631,8124,507
,2207,8640,8124,516
,2150,8617,8124,493
,2215,8660,8124,536
,2217,8664,8124,540
,2142,8619,8124,495
,2217,8644,8124,520
Avg of 700
,2529,8743,8124,619
,2439,8701,8124,577
,2519,8747,8124,623
,2503,8706,8124,582
,2457,8694,8124,570
,2438,8685,8124,561
,2559,8745,8124,621
,2442,8688,8124,564
,2472,8703,8124,579
,2503,8716,8124,592
Avg of 800
,2800,8809,8124,685
,2684,8747,8124,623
,2708,8742,8124,618
,2752,8774,8124,650
,2775,8798,8124,674
,2775,8784,8124,660
,2788,8798,8124,674
,2806,8804,8124,680
,2699,8733,8124,609
,2678,8737,8124,613
Avg of 900
,3092,8884,8124,760
,3090,8890,8124,766
,3074,8859,8124,735
,3053,8852,8124,728
,3105,8869,8124,745
,2958,8793,8124,669
,3132,8880,8124,756
,3102,8889,8124,765
,3054,8852,8124,728
,3046,8820,8124,696
Avg of 1000
Random Target, Stack3, Stack3, Stack3, Stack3
,329,8202,8124,78
,336,8202,8124,78
,343,8211,8124,87
,339,8203,8124,79
,358,8214,8124,90
,341,8203,8124,79
,344,8205,8124,81
,326,8204,8124,80
,327,8198,8124,74
,337,8204,8124,80
