Random Target, DT, DT, DT, DT
,3022,10293,10127,166
,2819,10278,10127,151
,3144,10310,10127,183
,2797,10272,10127,145
,2766,10271,10127,144
,2997,10289,10127,162
,2867,10282,10127,155
Avg of 500
,3490,10321,10127,194
,3568,10323,10127,196
,3779,10350,10127,223
,3587,10310,10127,183
,3870,10332,10127,205
,3364,10309,10127,182
,3760,10357,10127,230
,3384,10296,10127,169
,3735,10329,10127,202
,3518,10302,10127,175
Avg of 600
,3854,10318,10127,191
,4365,10373,10127,246
,4235,10362,10127,235
,3974,10343,10127,216
,4407,10354,10127,227
,4366,10362,10127,235
,4019,10326,10127,199
,4200,10361,10127,234
,4074,10339,10127,212
,4155,10369,10127,242
Avg of 700
,4728,10392,10127,265
,4424,10347,10127,220
,4485,10353,10127,226
,4642,10371,10127,244
,4283,10351,10127,224
,5039,10400,10127,273
,4412,10361,10127,234
,4952,10400,10127,273
,4588,10381,10127,254
,4566,10361,10127,234
Avg of 800
,5160,10416,10127,289
,5318,10429,10127,302
,5315,10414,10127,287
,4896,10387,10127,260
,5652,10445,10127,318
,5044,10386,10127,259
,5198,10418,10127,291
,5200,10420,10127,293
,5560,10464,10127,337
,5267,10418,10127,291
Avg of 900
,5341,10400,10127,273
,5732,10444,10127,317
,5845,10446,10127,319
,6309,10478,10127,351
,5498,10444,10127,317
,5730,10427,10127,300
,6009,10458,10127,331
,5630,10414,10127,287
,6012,10452,10127,325
,6437,10482,10127,355
Avg of 1000
Random Target, LR2, LR2, LR2, LR2
,671,10154,10127,27
,733,10167,10127,40
,703,10163,10127,36
,632,10153,10127,26
,608,10160,10127,33
,674,10164,10127,37
,657,10163,10127,36
,598,10162,10127,35
,683,10173,10127,46
,552,10158,10127,31
Avg of 100
,1124,10192,10127,65
,1380,10211,10127,84
,1300,10199,10127,72
,1089,10188,10127,61
,1332,10205,10127,78
,1144,10177,10127,50
,1027,10179,10127,52
,1199,10195,10127,68
,1148,10185,10127,58
,1298,10198,10127,71
Avg of 200
,1958,10236,10127,109
,1639,10217,10127,90
,1906,10224,10127,97
,1965,10228,10127,101
,1930,10240,10127,113
,1885,10224,10127,97
,1759,10213,10127,86
,1520,10202,10127,75
,1539,10213,10127,86
,1707,10211,10127,84
Avg of 300
,2507,10269,10127,142
,2384,10253,10127,126
,2419,10262,10127,135
,2120,10228,10127,101
,2385,10250,10127,123
,2607,10282,10127,155
,2383,10247,10127,120
,2588,10265,10127,138
,2335,10254,10127,127
,2290,10243,10127,116
Avg of 400
,2911,10278,10127,151
,3286,10310,10127,183
,2940,10284,10127,157
,2950,10291,10127,164
,3335,10316,10127,189
,3094,10294,10127,167
,3053,10291,10127,164
,2994,10290,10127,163
,3184,10293,10127,166
,3173,10293,10127,166
Avg of 500
,3923,10353,10127,226
,3428,10312,10127,185
,3634,10324,10127,197
,3352,10294,10127,167
,3701,10319,10127,192
,3567,10323,10127,196
,3687,10316,10127,189
,3647,10325,10127,198
,3226,10291,10127,164
,3557,10320,10127,193
Avg of 600
,4278,10367,10127,240
,3976,10332,10127,205
,4078,10339,10127,212
,4067,10339,10127,212
,4152,10334,10127,207
,4193,10353,10127,226
,3911,10348,10127,221
,3912,10322,10127,195
,4435,10385,10127,258
,3892,10325,10127,198
Avg of 700
,4842,10396,10127,269
,5124,10405,10127,278
,4116,10334,10127,207
,4806,10389,10127,262
,4522,10366,10127,239
,4573,10366,10127,239
,4800,10391,10127,264
,4799,10379,10127,252
,4955,10417,10127,290
,5204,10405,10127,278
Avg of 800
,4880,10368,10127,241
,4865,10395,10127,268
,5429,10422,10127,295
,5614,10430,10127,303
,5166,10422,10127,295
,5384,10422,10127,295
,4998,10403,10127,276
,5320,10407,10127,280
,5588,10442,10127,315
,5461,10424,10127,297
Avg of 900
,5590,10418,10127,291
,5269,10406,10127,279
,5972,10434,10127,307
,5691,10434,10127,307
,5849,10459,10127,332
,5552,10422,10127,295
,6019,10467,10127,340
,5915,10457,10127,330
,5680,10447,10127,320
,5700,10433,10127,306
Avg of 1000
Random Target, NB, NB, NB, NB
,1024,10204,10127,77
,925,10191,10127,64
,1155,10214,10127,87
,1048,10205,10127,78
,1009,10201,10127,74
,1203,10224,10127,97
,908,10188,10127,61
,1016,10200,10127,73
,992,10199,10127,72
,1001,10196,10127,69
Avg of 100
,2038,10270,10127,143
,2244,10294,10127,167
