Random Walk , DT, DT, DT, DT
,3366,10523,10127,396
Avg of 200
,4845,10721,10127,594
,4917,10716,10127,589
,4655,10718,10127,591
,4655,10719,10127,592
,4848,10722,10127,595
,4801,10721,10127,594
,4961,10721,10127,594
,4635,10721,10127,594
,5016,10720,10127,593
,4883,10720,10127,593
Avg of 300
,6498,10924,10127,797
,6700,10918,10127,791
,6364,10917,10127,790
,6316,10918,10127,791
,6502,10921,10127,794
,6570,10922,10127,795
,6598,10916,10127,789
,6347,10921,10127,794
,6494,10922,10127,795
,6331,10917,10127,790
Avg of 400
,8249,11111,10127,984
,8150,11119,10127,992
,8199,11121,10127,994
,8316,11124,10127,997
,8274,11118,10127,991
,8515,11120,10127,993
,8338,11119,10127,992
,8185,11111,10127,984
,8140,11121,10127,994
,8181,11123,10127,996
Avg of 500
,9801,11318,10127,1191
,9635,11314,10127,1187
,9790,11313,10127,1186
,9617,11318,10127,1191
,9854,11323,10127,1196
,10033,11314,10127,1187
,9645,11307,10127,1180
,9446,11310,10127,1183
,9865,11320,10127,1193
,9759,11322,10127,1195
Avg of 600
,11666,11515,10127,1388
,11390,11509,10127,1382
,11463,11508,10127,1381
,11291,11519,10127,1392
,11321,11515,10127,1388
,11579,11516,10127,1389
,11474,11511,10127,1384
,10983,11513,10127,1386
,11170,11520,10127,1393
,11163,11511,10127,1384
Avg of 700
,12798,11710,10127,1583
,13234,11709,10127,1582
,13151,11710,10127,1583
,13069,11718,10127,1591
,12787,11711,10127,1584
,12736,11714,10127,1587
,12991,11711,10127,1584
,13266,11708,10127,1581
,12668,11707,10127,1580
,12534,11703,10127,1576
Avg of 800
,14367,11907,10127,1780
,14579,11914,10127,1787
,14173,11916,10127,1789
,14263,11909,10127,1782
,14314,11909,10127,1782
,14584,11911,10127,1784
,15051,11908,10127,1781
,14634,11913,10127,1786
,14657,11912,10127,1785
,14523,11909,10127,1782
Avg of 900
,16070,12109,10127,1982
,16289,12111,10127,1984
,15902,12113,10127,1986
,15807,12109,10127,1982
,16134,12114,10127,1987
,16092,12107,10127,1980
,16182,12096,10127,1969
,16336,12110,10127,1983
,16255,12107,10127,1980
,16052,12106,10127,1979
Avg of 1000
Random Walk , LR2, LR2, LR2, LR2
,1579,10325,10127,198
,1612,10327,10127,200
,1699,10324,10127,197
,1553,10326,10127,199
,1654,10326,10127,199
,1685,10321,10127,194
,1528,10327,10127,200
,1479,10327,10127,200
,1631,10324,10127,197
,1745,10325,10127,198
Avg of 100
,3260,10526,10127,399
,3315,10522,10127,395
,3213,10523,10127,396
,3286,10522,10127,395
,3204,10527,10127,400
,3261,10521,10127,394
,3344,10525,10127,398
,3187,10524,10127,397
,3223,10520,10127,393
,3235,10525,10127,398
Avg of 200
,4636,10725,10127,598
,4792,10715,10127,588
,4772,10721,10127,594
,4778,10719,10127,592
,4930,10724,10127,597
,4635,10715,10127,588
,4927,10719,10127,592
,4828,10715,10127,588
,4743,10722,10127,595
,4817,10725,10127,598
Avg of 300
,6600,10917,10127,790
,6472,10915,10127,788
,6395,10921,10127,794
,6435,10918,10127,791
,6324,10921,10127,794
,6274,10921,10127,794
,6456,10921,10127,794
,6438,10919,10127,792
,6443,10918,10127,791
,6403,10919,10127,792
Avg of 400
,7927,11118,10127,991
,7794,11119,10127,992
,7983,11120,10127,993
,8166,11113,10127,986
,8306,11116,10127,989
,7968,11115,10127,988
,7775,11111,10127,984
,7674,11119,10127,992
,8182,11115,10127,988
,8118,11113,10127,986
Avg of 500
,10025,11321,10127,1194
,9875,11306,10127,1179
,9596,11313,10127,1186
,9378,11317,10127,1190
,9526,11320,10127,1193
,9744,11313,10127,1186
,9726,11315,10127,1188
,9473,11305,10127,1178
,9459,11314,10127,1187
,9375,11318,10127,1191
Avg of 600
,10966,11514,10127,1387
,11031,11514,10127,1387
,11388,11511,10127,1384
,10748,11516,10127,1389
,11205,11512,10127,1385
,10801,11522,10127,1395
,11221,11508,10127,1381
,11448,11517,10127,1390
,11021,11518,10127,1391
,11112,11510,10127,1383
Avg of 700
,12774,11715,10127,1588
,13142,11711,10127,1584
,12686,11702,10127,1575
,12619,11710,10127,1583
,13119,11717,10127,1590
,12670,11708,10127,1581
,12824,11711,10127,1584
,13018,11718,10127,1591
,12740,11713,10127,1586
,12704,11712,10127,1585
Avg of 800
,15058,11916,10127,1789
,14287,11910,10127,1783
,14208,11914,10127,1787
,14140,11907,10127,1780
,14183,11915,10127,1788
,14251,11915,10127,1788
,14675,11906,10127,1779
,14524,11909,10127,1782
,14665,11907,10127,1780
,14199,11911,10127,1784
Avg of 900
,16229,12109,10127,1982
,15907,12104,10127,1977
,16267,12107,10127,1980
,15788,12112,10127,1985
,16231,12119,10127,1992
,15706,12107,10127,1980
,15898,12117,10127,1990
,16369,12109,10127,1982
,15898,12110,10127,1983
,16558,12108,10127,1981
Avg of 1000
Random Walk , NB, NB, NB, NB
,2012,10189,10127,62
,2020,10192,10127,65
,1989,10204,10127,77
,2018,10186,10127,59
,2061,10170,10127,43
,2030,10189,10127,62
,2017,10185,10127,58
,1994,10191,10127,64
,2040,10181,10127,54
,1977,10199,10127,72
Avg of 100
,4017,10256,10127,129
,4047,10283,10127,156
,4043,10271,10127,144
,3993,10273,10127,146
,4040,10253,10127,126
,3977,10253,10127,126
,4008,10256,10127,129
,4039,10248,10127,121
,3905,10273,10127,146
,3947,10278,10127,151
Avg of 200
,6035,10333,10127,206
,6078,10311,10127,184
,5930,10330,10127,203
,5923,10323,10127,196
,6090,10309,10127,182
,6036,10348,10127,221
,5944,10342,10127,215
,5978,10344,10127,217
,6031,10322,10127,195
,5932,10355,10127,228
Avg of 300
,7990,10387,10127,260
,8043,10397,10127,270
,8045,10429,10127,302
,8112,10380,10127,253
,8137,10366,10127,239
,7978,10380,10127,253
,7950,10378,10127,251
,7979,10398,10127,271
,8091,10376,10127,249
,8038,10369,10127,242
Avg of 400
,9993,10436,10127,309
,10078,10428,10127,301
,10004,10483,10127,356
,9996,10446,10127,319
,10036,10456,10127,329
,10087,10417,10127,290
,9983,10443,10127,316
,10037,10462,10127,335
,9998,10468,10127,341
,10080,10469,10127,342
Avg of 500
,12086,10516,10127,389
,12031,10547,10127,420
,12056,10524,10127,397
,12186,10535,10127,408
,12045,10513,10127,386
,12076,10507,10127,380
,11913,10518,10127,391
,12039,10527,10127,400
,12046,10496,10127,369
,11959,10535,10127,408
Avg of 600
,14156,10575,10127,448
,14044,10624,10127,497
,14150,10603,10127,476
,13995,10619,10127,492
,14064,10558,10127,431
,14008,10640,10127,513
,14048,10599,10127,472
,14103,10592,10127,465
,14058,10621,10127,494
,14063,10585,10127,458
Avg of 700
,16237,10656,10127,529
,15980,10669,10127,542
,15853,10704,10127,577
,16053,10615,10127,488
,16050,10605,10127,478
,16076,10660,10127,533
,15995,10709,10127,582
,15825,10692,10127,565
,16150,10653,10127,526
,15982,10613,10127,486
Avg of 800
,18158,10712,10127,585
,18000,10729,10127,602
,17888,10733,10127,606
,18111,10722,10127,595
,17876,10736,10127,609
,17943,10730,10127,603
,17934,10754,10127,627
,17964,10737,10127,610
,18087,10689,10127,562
,17945,10774,10127,647
Avg of 900
,20121,10725,10127,598
,20039,10820,10127,693
,20086,10809,10127,682
,19969,10821,10127,694
,19957,10792,10127,665
,20064,10769,10127,642
,20059,10764,10127,637
,20061,10766,10127,639
,20046,10836,10127,709
,20017,10809,10127,682
Avg of 1000
Random Walk , NB2, NB2, NB2, NB2
,2021,10188,10127,61
,1995,10194,10127,67
,1987,10200,10127,73
,2071,10198,10127,71
,2015,10176,10127,49
,2029,10204,10127,77
,2018,10189,10127,62
,2035,10188,10127,61
,1965,10205,10127,78
,1951,10202,10127,75
Avg of 100
